Nom_Commune,Cas communautaires,lat,lon
Plateau,163,14.6675661,-17.4328936
HLM,146,14.7100734,-17.4441806
Ouakam,79,14.7247367,-17.4850662
Ngor,24,14.7487915,-17.5149607
Yoff,154,14.7603583,-17.468149
fass,8,14.6881417,-17.4555881
ALMADIES,21,14.7441857,-17.5175251
PARCELLES ASSAINIES,125,14.7575152,-17.4407048
Mbao,76,14.7394106,-17.3177885
Tivaouane,21,14.8053517,-17.2809943
Keur Massar,33,14.7825027,-17.3111773
Malika,5,14.8014836,-17.3375999
Dalifort,1,14.7417296,-17.4172247
Diamniadio,19,14.7202187,-17.1842439
SANGALKAM,45,14.779304,-17.228261
COLOBANE,3,14.6951179,-17.4454265
,,,
,,,
